"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    16 to 19 years","louisiana",2010,262204,0.376,0.259,0.307
"    16 to 19 years","louisiana",2011,264377,0.351,0.253,0.276
"    16 to 19 years","louisiana",2012,255299,0.346,0.242,0.297
"    16 to 19 years","louisiana",2013,249146,0.33,0.24,0.266
"    16 to 19 years","louisiana",2014,248503,0.325,0.238,0.261
"    16 to 19 years","louisiana",2015,247584,0.332,0.253,0.233
"    16 to 19 years","louisiana",2016,254991,0.342,0.258,0.243
"    16 to 19 years","louisiana",2017,261222,0.317,0.249,0.201
"        16 to 19 years","louisiana",2018,248235,0.323,0.236,0.249
"        16 to 19 years","louisiana",2019,245192,0.345,0.291,0.145
